,0
1078,-0.16
1079,0.98
1080,-0.0
1081,-0.14
1082,1.01
1083,-0.0
1084,-0.18
1085,1.0
1086,0.03
1087,-0.15
1088,0.99
1089,-0.01
1090,-0.15
1091,1.01
1092,0.01
1093,-0.18
1094,0.99
1095,0.03
1096,-0.15
1097,0.99
1098,-0.01
1099,-0.16
1100,1.01
1101,0.02
1102,-0.18
1103,0.99
1104,0.01
1105,-0.14
1106,1.0
1107,-0.01
1108,-0.17
1109,1.01
1110,0.03
1111,-0.16
1112,0.98
1113,-0.0
1114,-0.15
1115,1.01
1116,-0.0
1117,-0.18
1118,1.0
1119,0.03
1120,-0.15
1121,0.99
1122,-0.01
1123,-0.15
1124,1.01
1125,0.01
1126,-0.18
1127,0.99
1128,0.02
1129,-0.15
1130,0.99
1131,-0.01
1132,-0.17
1133,1.01
1134,0.02
1135,-0.18
1136,0.99
1137,0.01
1138,-0.14
1139,1.0
1140,-0.01
1141,-0.17
1142,1.01
1143,0.03
1144,-0.16
1145,0.98
1146,-0.0
1147,-0.14
1148,1.01
1149,-0.0
1150,-0.18
1151,1.0
1152,0.01
1153,-0.18
1154,0.99
1155,0.02
1156,-0.14
1157,0.99
1158,-0.02
1159,-0.16
1160,1.01
1161,0.02
1162,-0.17
1163,0.99
1164,0.01
1165,-0.14
1166,1.0
1167,-0.01
1168,-0.17
1169,1.01
1170,0.03
1171,-0.16
1172,0.98
1173,-0.0
1174,-0.14
1175,1.01
1176,-0.0
1177,-0.18
1178,1.0
1179,0.03
1180,-0.15
1181,0.99
1182,-0.01
1183,-0.15
1184,1.01
1185,0.01
1186,-0.18
1187,0.99
1188,0.02
1189,-0.14
1190,0.99
1191,-0.02
1192,-0.16
1193,1.01
1194,0.02
1195,-0.17
1196,0.99
1197,0.01
1198,-0.14
1199,1.0
1200,-0.01
1201,-0.17
1202,1.01
1203,0.03
1204,-0.16
1205,0.98
1206,-0.01
1207,-0.14
1208,1.01
1209,-0.0
1210,-0.18
1211,1.0
1212,0.04
1213,-0.15
1214,0.98
1215,-0.01
1216,-0.15
1217,1.01
1218,0.01
1219,-0.18
1220,1.0
1221,0.02
1222,-0.15
1223,0.99
1224,-0.01
1225,-0.17
1226,1.01
1227,0.03
1228,-0.17
1229,0.99
1230,0.01
1231,-0.14
1232,1.0
1233,-0.01
1234,-0.17
1235,1.01
1236,0.03
1237,-0.17
1238,0.98
1239,-0.0
1240,-0.14
1241,1.01
1242,0.0
1243,-0.18
1244,1.0
1245,0.03
1246,-0.15
1247,0.99
1248,-0.01
1249,-0.16
1250,1.01
1251,0.01
1252,-0.18
1253,0.99
1254,0.02
1255,-0.14
1256,0.99
1257,-0.02
1258,-0.16
1259,1.01
1260,0.03
1261,-0.18
1262,0.99
1263,0.01
1264,-0.14
1265,1.0
1266,-0.01
1267,-0.17
1268,1.0
1269,0.02
1270,-0.16
1271,0.99
1272,-0.0
1273,-0.15
1274,1.01
1275,0.01
1276,-0.18
1277,1.0
1278,0.03
1279,-0.15
1280,0.99
1281,-0.01
1282,-0.15
1283,1.01
1284,0.01
1285,-0.18
1286,1.0
1287,0.03
1288,-0.15
1289,0.99
1290,-0.01
1291,-0.16
1292,1.01
1293,0.02
1294,-0.17
1295,0.99
1296,0.01
1297,-0.15
1298,1.0
1299,-0.01
1300,-0.18
1301,1.0
1302,0.03
1303,-0.16
1304,0.98
1305,-0.01
1306,-0.14
1307,1.01
1308,0.0
1309,-0.19
1310,1.0
1311,0.03
1312,-0.15
1313,0.98
1314,-0.02
1315,-0.15
1316,1.01
1317,0.01
1318,-0.18
1319,1.0
1320,0.03
1321,-0.15
1322,0.99
1323,-0.01
1324,-0.16
1325,1.01
1326,0.02
1327,-0.17
1328,0.99
1329,0.01
1330,-0.15
1331,1.01
1332,-0.01
1333,-0.18
1334,1.0
1335,0.03
1336,-0.16
1337,0.98
1338,-0.01
1339,-0.14
1340,1.01
1341,-0.0
1342,-0.19
1343,1.0
1344,0.01
1345,-0.18
1346,1.0
1347,0.03
1348,-0.15
1349,0.99
1350,-0.01
1351,-0.16
1352,1.01
1353,0.02
1354,-0.17
1355,0.99
1356,0.01
1357,-0.15
1358,1.01
1359,-0.0
1360,-0.18
1361,1.0
1362,0.03
1363,-0.15
1364,0.98
1365,-0.01
1366,-0.15
1367,1.01
1368,0.01
1369,-0.19
1370,1.0
1371,0.03
1372,-0.14
1373,0.98
1374,-0.02
1375,-0.15
1376,1.01
1377,0.01
1378,-0.19
1379,0.99
1380,0.03
1381,-0.14
1382,0.99
1383,-0.02
1384,-0.16
1385,1.01
1386,0.02
1387,-0.18
1388,0.99
1389,0.02
1390,-0.15
1391,1.0
1392,-0.01
1393,-0.17
1394,1.0
1395,0.02
1396,-0.16
1397,0.99
1398,0.0
1399,-0.16
1400,1.01
